,short_name,long_name,age,overall,nationality,club,wage_eur,contract_valid_until
1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,93,Portugal,Juventus,405000,2022.0
10,K. Mbappé,Kylian Mbappé,20,89,France,Paris Saint-Germain,155000,2022.0
17,S. Agüero,Sergio Leonel Agüero del Castillo,31,89,Argentina,Manchester City,300000,2021.0
20,R. Lewandowski,Robert Lewandowski,30,89,Poland,FC Bayern München,235000,2021.0
37,M. Reus,Marco Reus,30,88,Germany,Borussia Dortmund,170000,2023.0
39,S. Mané,Sadio Mané,27,88,Senegal,Liverpool,220000,2023.0
43,H. Son,손흥민 孙兴慜,26,87,Korea Republic,Tottenham Hotspur,185000,2023.0
72,A. Lacazette,Alexandre Lacazette,28,86,France,Arsenal,165000,2022.0
116,M. Depay,Memphis Depay,25,84,Netherlands,Olympique Lyonnais,110000,2021.0
120,S. Gnabry,Serge Gnabry,23,84,Germany,FC Bayern München,120000,2023.0
168,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,83,Portugal,Valencia CF,46000,2024.0
171,M. Rashford,Marcus Rashford,21,83,England,Manchester United,125000,2023.0
182,Y. Carrasco,Yannick Ferreira Carrasco,25,83,Belgium,Dalian YiFang FC,23000,2021.0
197,Lucas Moura,Lucas Rodrigues M. Silva,26,83,Brazil,Tottenham Hotspur,130000,2024.0
230,W. Ben Yedder,Wissam Ben Yedder,28,83,France,AS Monaco,67000,2024.0
236,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,27,83,Brazil,Grêmio,51000,2022.0
301,A. Sánchez,Alexis Alejandro Sánchez Sánchez,30,82,Chile,Manchester United,150000,2022.0
318,K. Bellarabi,Karim Bellarabi,29,82,Germany,Bayer 04 Leverkusen,89000,2021.0
320,Q. Promes,Quincy Anton Promes,27,82,Netherlands,Ajax,32000,2024.0
353,A. Plea,Alassane Plea,26,81,France,Borussia Mönchengladbach,41000,2023.0
401,E. Zahavi,Eran Zahavi,31,81,Israel,Guangzhou R&F FC,25000,2020.0
411,João Félix,João Félix Sequeira,19,80,Portugal,Atlético Madrid,38000,2026.0
671,E. Lavezzi,Ezequiel Iván Lavezzi,34,79,Argentina,Hebei China Fortune FC,21000,2019.0
699,Alex Teixeira,Alex Teixeira dos Santos,29,79,Brazil,Jiangsu Suning FC,30000,2019.0
