,short_name,long_name,age,overall,nationality,club,wage_eur,contract_valid_until,Cluster
0,L. Messi,Lionel Andrés Messi Cuccittini,32,94,Argentina,FC Barcelona,565000,2021.0,343
1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,93,Portugal,Juventus,405000,2022.0,756
2,Neymar Jr,Neymar da Silva Santos Junior,27,92,Brazil,Paris Saint-Germain,290000,2022.0,403
3,J. Oblak,Jan Oblak,26,91,Slovenia,Atlético Madrid,125000,2023.0,487
4,E. Hazard,Eden Hazard,28,91,Belgium,Real Madrid,470000,2024.0,403
5,K. De Bruyne,Kevin De Bruyne,28,91,Belgium,Manchester City,370000,2023.0,925
6,M. ter Stegen,Marc-André ter Stegen,27,90,Germany,FC Barcelona,250000,2022.0,487
7,V. van Dijk,Virgil van Dijk,27,90,Netherlands,Liverpool,200000,2023.0,817
8,L. Modrić,Luka Modrić,33,90,Croatia,Real Madrid,340000,2020.0,925
9,M. Salah,Mohamed  Salah Ghaly,27,90,Egypt,Liverpool,240000,2023.0,912
10,K. Mbappé,Kylian Mbappé,20,89,France,Paris Saint-Germain,155000,2022.0,608
11,K. Koulibaly,Kalidou Koulibaly,28,89,Senegal,Napoli,150000,2021.0,817
12,H. Kane,Harry Kane,25,89,England,Tottenham Hotspur,220000,2024.0,756
13,Alisson,Alisson Ramses Becker,26,89,Brazil,Liverpool,155000,2024.0,300
14,De Gea,David De Gea Quintana,28,89,Spain,Manchester United,205000,2020.0,487
15,N. Kanté,N'Golo Kanté,28,89,France,Chelsea,235000,2023.0,656
16,G. Chiellini,Giorgio Chiellini,34,89,Italy,Juventus,215000,2020.0,273
17,S. Agüero,Sergio Leonel Agüero del Castillo,31,89,Argentina,Manchester City,300000,2021.0,608
18,Sergio Ramos,Sergio Ramos García,33,89,Spain,Real Madrid,300000,2020.0,509
19,L. Suárez,Luis Alberto Suárez Díaz,32,89,Uruguay,FC Barcelona,355000,2021.0,756
20,R. Lewandowski,Robert Lewandowski,30,89,Poland,FC Bayern München,235000,2021.0,756
21,Sergio Busquets,Sergio Busquets i Burgos,30,89,Spain,FC Barcelona,300000,2023.0,889
22,A. Griezmann,Antoine Griezmann,28,89,France,FC Barcelona,370000,2024.0,912
23,P. Dybala,Paulo Bruno Exequiel Dybala,25,88,Argentina,Juventus,215000,2022.0,343
24,P. Pogba,Paul Pogba,26,88,France,Manchester United,250000,2021.0,814
25,Ederson,Ederson Santana de Moraes,25,88,Brazil,Manchester City,185000,2024.0,822
26,R. Sterling,Raheem Sterling,24,88,England,Manchester City,255000,2023.0,504
27,C. Eriksen,Christian  Dannemann Eriksen,27,88,Denmark,Tottenham Hotspur,205000,2020.0,443
28,T. Courtois,Thibaut Courtois,27,88,Belgium,Real Madrid,235000,2024.0,822
29,Piqué,Gerard Piqué Bernabéu,32,88,Spain,FC Barcelona,285000,2022.0,813
30,S. Handanovič,Samir Handanovič,34,88,Slovenia,Inter,110000,2021.0,275
31,M. Neuer,Manuel Neuer,33,88,Germany,FC Bayern München,155000,2021.0,487
32,H. Lloris,Hugo Lloris,32,88,France,Tottenham Hotspur,150000,2022.0,822
33,David Silva,David Josué Jiménez Silva,33,88,Spain,Manchester City,265000,2020.0,735
34,E. Cavani,Edinson Roberto Cavani Gómez,32,88,Uruguay,Paris Saint-Germain,195000,2020.0,756
35,D. Godín,Diego Godín,33,88,Uruguay,Inter,135000,2022.0,817
36,T. Kroos,Toni Kroos,29,88,Germany,Real Madrid,330000,2023.0,895
37,M. Reus,Marco Reus,30,88,Germany,Borussia Dortmund,170000,2023.0,504
38,P. Aubameyang,Pierre-Emerick Aubameyang,30,88,Gabon,Arsenal,205000,2021.0,900
39,S. Mané,Sadio Mané,27,88,Senegal,Liverpool,220000,2023.0,608
40,A. Laporte,Aymeric  Laporte,25,87,France,Manchester City,195000,2024.0,273
41,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,87,Portugal,Manchester City,210000,2024.0,912
42,Casemiro,Carlos Henrique Venancio Casimiro,27,87,Brazil,Real Madrid,240000,2021.0,751
43,H. Son,손흥민 孙兴慜,26,87,Korea Republic,Tottenham Hotspur,185000,2023.0,443
44,Fernandinho,Fernando Luiz Rosa,34,87,Brazil,Manchester City,200000,2020.0,751
45,Thiago Silva,Thiago Emiliano da Silva,34,87,Brazil,Paris Saint-Germain,135000,2020.0,817
46,K. Benzema,Karim Benzema,31,87,France,Real Madrid,285000,2021.0,900
47,J. Vertonghen,Jan Vertonghen,32,87,Belgium,Tottenham Hotspur,155000,2020.0,273
48,D. Mertens,Dries Mertens,32,87,Belgium,Napoli,135000,2020.0,637
49,M. Hummels,Mats  Hummels,30,87,Germany,Borussia Dortmund,130000,2022.0,813
50,T. Alderweireld,Toby Alderweireld,30,87,Belgium,Tottenham Hotspur,155000,2020.0,817
51,Jordi Alba,Jordi Alba Ramos,30,87,Spain,FC Barcelona,240000,2024.0,457
52,Thiago,Thiago Alcântara do Nascimento,28,87,Spain,FC Bayern München,180000,2021.0,656
53,K. Navas,Keylor Navas,32,87,Costa Rica,Real Madrid,195000,2020.0,487
54,L. Insigne,Lorenzo Insigne,28,87,Italy,Napoli,140000,2022.0,637
55,L. Sané,Leroy Sané,23,86,Germany,Manchester City,195000,2021.0,61
56,Marquinhos,Marcos  Aoás Corrêa,25,86,Brazil,Paris Saint-Germain,120000,2022.0,751
57,M. Škriniar,Milan Škriniar,24,86,Slovakia,Inter,89000,2023.0,817
58,M. Verratti,Marco Verratti,26,86,Italy,Paris Saint-Germain,140000,2021.0,656
59,S. Umtiti,Samuel Umtiti,25,86,France,FC Barcelona,210000,2023.0,273
60,W. Szczęsny,Wojciech  Szczęsny,29,86,Poland,Juventus,135000,2021.0,300
61,J. Kimmich,Joshua Kimmich,24,86,Germany,FC Bayern München,125000,2023.0,656
62,Isco,Francisco Román Alarcón Suárez,27,86,Spain,Real Madrid,245000,2022.0,569
63,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,86,Brazil,Liverpool,170000,2023.0,756
64,I. Rakitić,Ivan Rakitić,31,86,Croatia,FC Barcelona,245000,2021.0,895
65,M. Pjanić,Miralem Pjanić,29,86,Bosnia Herzegovina,Juventus,180000,2023.0,656
66,A. Di María,Ángel Fabián Di María Hernández,31,86,Argentina,Paris Saint-Germain,150000,2021.0,912
67,L. Bonucci,Leonardo Bonucci,32,86,Italy,Juventus,160000,2023.0,817
68,Coutinho,Philippe Coutinho Correia,27,86,Brazil,FC Bayern München,175000,2020.0,504
69,Parejo,Daniel Parejo Muñoz,30,86,Spain,Valencia CF,69000,2022.0,895
70,T. Müller,Thomas Müller,29,86,Germany,FC Bayern München,170000,2021.0,756
71,C. Immobile,Ciro Immobile,29,86,Italy,Lazio,105000,2023.0,756
72,A. Lacazette,Alexandre Lacazette,28,86,France,Arsenal,165000,2022.0,608
73,M. de Ligt,Matthijs de Ligt,19,85,Netherlands,Juventus,76000,2024.0,817
74,G. Donnarumma,Gianluigi Donnarumma,20,85,Italy,Milan,34000,2021.0,300
75,F. de Jong,Frenkie de Jong,22,85,Netherlands,FC Barcelona,195000,2024.0,656
