,short_name,long_name,age,overall,nationality,club,wage_eur,contract_valid_until,Cluster
0,L. Messi,Lionel Andrés Messi Cuccittini,32,94,Argentina,FC Barcelona,565000,2021.0,727
1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,93,Portugal,Juventus,405000,2022.0,103
2,Neymar Jr,Neymar da Silva Santos Junior,27,92,Brazil,Paris Saint-Germain,290000,2022.0,445
3,J. Oblak,Jan Oblak,26,91,Slovenia,Atlético Madrid,125000,2023.0,274
4,E. Hazard,Eden Hazard,28,91,Belgium,Real Madrid,470000,2024.0,445
5,K. De Bruyne,Kevin De Bruyne,28,91,Belgium,Manchester City,370000,2023.0,725
6,M. ter Stegen,Marc-André ter Stegen,27,90,Germany,FC Barcelona,250000,2022.0,274
7,V. van Dijk,Virgil van Dijk,27,90,Netherlands,Liverpool,200000,2023.0,910
8,L. Modrić,Luka Modrić,33,90,Croatia,Real Madrid,340000,2020.0,391
9,M. Salah,Mohamed  Salah Ghaly,27,90,Egypt,Liverpool,240000,2023.0,185
10,K. Mbappé,Kylian Mbappé,20,89,France,Paris Saint-Germain,155000,2022.0,103
11,K. Koulibaly,Kalidou Koulibaly,28,89,Senegal,Napoli,150000,2021.0,353
12,H. Kane,Harry Kane,25,89,England,Tottenham Hotspur,220000,2024.0,419
13,Alisson,Alisson Ramses Becker,26,89,Brazil,Liverpool,155000,2024.0,274
14,De Gea,David De Gea Quintana,28,89,Spain,Manchester United,205000,2020.0,274
15,N. Kanté,N'Golo Kanté,28,89,France,Chelsea,235000,2023.0,615
16,G. Chiellini,Giorgio Chiellini,34,89,Italy,Juventus,215000,2020.0,346
17,S. Agüero,Sergio Leonel Agüero del Castillo,31,89,Argentina,Manchester City,300000,2021.0,103
18,Sergio Ramos,Sergio Ramos García,33,89,Spain,Real Madrid,300000,2020.0,247
19,L. Suárez,Luis Alberto Suárez Díaz,32,89,Uruguay,FC Barcelona,355000,2021.0,419
